`# time, f
8.124062031015508182e+03,-2.105357189650667316e-01
8.144072036018008475e+03,-2.105393690576292942e-01
8.164082041020509678e+03,-2.105430726879989334e-01
8.184092046023011790e+03,-2.105468292099645644e-01
8.204102051025512992e+03,-2.105506375142870701e-01
8.224112056028014194e+03,-2.105544960838689472e-01
8.244122061030515397e+03,-2.105584031190578520e-01
8.264132066033016599e+03,-2.105623567172737742e-01
8.284142071035517802e+03,-2.105663550786273930e-01
8.304152076038019004e+03,-2.105703967050512881e-01
8.324162081040520206e+03,-2.105744805655756502e-01
8.344172086043021409e+03,-2.105786062116112578e-01
8.364182091045522611e+03,-2.105827738385095405e-01
8.384192096048023814e+03,-2.105869842992834917e-01
8.404202101050525016e+03,-2.105912390816018220e-01
8.424212106053026218e+03,-2.105955402605149129e-01
8.444222111055527421e+03,-2.105998904382911929e-01
8.464232116058028623e+03,-2.106042926806384330e-01
8.484242121060529826e+03,-2.106087504563215473e-01
8.504252126063031028e+03,-2.106132675850406477e-01
8.524262131065534049e+03,-2.106178481963054683e-01
8.544272136068033433e+03,-2.106224966996902426e-01
8.564282141070534635e+03,-2.106272177641058951e-01
8.584292146073035838e+03,-2.106320163006638602e-01
8.604302151075537040e+03,-2.106368974406938877e-01
8.624312156078038242e+03,-2.106418664982316891e-01
8.644322161080541264e+03,-2.106469289057781580e-01
8.664332166083042466e+03,-2.106520901144495750e-01
8.684342171085541850e+03,-2.106573554557109318e-01
8.704352176088043052e+03,-2.106627299719186774e-01
8.724362181090544254e+03,-2.106682182354973620e-01
8.744372186093047276e+03,-2.106738241880155293e-01
8.764382191095548478e+03,-2.106795510348802580e-01
8.784392196098049681e+03,-2.106854012231749451e-01
8.804402201100550883e+03,-2.106913765078916312e-01
8.824412206103050266e+03,-2.106974780814422632e-01
8.844422211105553288e+03,-2.107037067152450482e-01
8.864432216108054490e+03,-2.107100628531115016e-01
8.884442221110555693e+03,-2.107165466105557217e-01
8.904452226113056895e+03,-2.107231576694330588e-01
8.924462231115558097e+03,-2.107298951033755585e-01
8.944472236118059300e+03,-2.107367572108928555e-01
8.964482241120560502e+03,-2.107437414515817287e-01
8.984492246123061705e+03,-2.107508445625733695e-01
9.004502251125562907e+03,-2.107580628786489829e-01
9.024512256128064109e+03,-2.107653928133121080e-01
9.044522261130565312e+03,-2.107728314126324776e-01
9.064532266133066514e+03,-2.107803768889984775e-01
9.084542271135567717e+03,-2.107880290716837024e-01
9.104552276138068919e+03,-2.107957897513379197e-01
9.124562281140570121e+03,-2.108036629243540960e-01
9.144572286143071324e+03,-2.108116549525447248e-01
9.164582291145572526e+03,-2.108197746475712897e-01
9.184592296148073729e+03,-2.108280332759169262e-01
9.204602301150574931e+03,-2.108364444651371350e-01
9.224612306153076133e+03,-2.108450239795543468e-01
9.244622311155577336e+03,-2.108537893269770425e-01
9.264632316158078538e+03,-2.108627591627887932e-01
9.284642321160579741e+03,-2.108719524810565293e-01
9.304652326163080943e+03,-2.108813876285624278e-01
9.324662331165583964e+03,-2.108910812385955125e-01
9.344672336168085167e+03,-2.109010472279682358e-01
9.364682341170584550e+03,-2.109112959947400112e-01
9.384692346173085753e+03,-2.109218338889050359e-01
9.404702351175586955e+03,-2.109326629645182916e-01
9.424712356178088157e+03,-2.109437810448929751e-01
9.444722361180591179e+03,-2.109551822311906133e-01
9.464732366183092381e+03,-2.109668580016301476e-01
9.484742371185593584e+03,-2.109787988474462472e-01
9.504752376188092967e+03,-2.109909960910666127e-01
9.524762381190594169e+03,-2.110034434468974762e-01
9.544772386193097191e+03,-2.110161381577059792e-01
9.564782391195598393e+03,-2.110290819353411174e-01
9.584792396198099595e+03,-2.110422820920958564e-01
9.604802401200600798e+03,-2.110557530514362012e-01
9.624812406203102000e+03,-2.110695180672399196e-01
9.644822411205603203e+03,-2.110836107178132026e-01
9.664832416208104405e+03,-2.110980756597680696e-01
9.684842421210605607e+03,-2.111129681449612772e-01
9.704852426213106810e+03,-2.111283518533988712e-01
9.724862431215608012e+03,-2.111442947501001033e-01
9.744872436218109215e+03,-2.111608630861661895e-01
9.764882441220610417e+03,-2.111781143507930336e-01
9.784892446223111619e+03,-2.111960907561532541e-01
9.804902451225612822e+03,-2.112148155904750579e-01
9.824912456228114024e+03,-2.112342951588022377e-01
9.844922461230615227e+03,-2.112545274108067472e-01
9.864932466233116429e+03,-2.112755140104861373e-01
9.884942471235617631e+03,-2.112972696398268124e-01
9.904952476238118834e+03,-2.113198250301632497e-01
9.924962481240620036e+03,-2.113432262121875682e-01
9.944972486243121239e+03,-2.113675362072437447e-01
9.964982491245622441e+03,-2.113928430123902247e-01
9.984992496248123643e+03,-2.114192695323561244e-01
1.000500250125062485e+04,-2.114469739145921345e-01
1.002501250625312787e+04,-2.114761307719396077e-01
1.004502251125562725e+04,-2.115068982350492288e-01
1.006503251625812845e+04,-2.115393987271563803e-01
